"질의","응답","카테고리"
"오늘 하루 어땠어","그냥 그랬어 별일 없었어","DAILY"
"요즘 잘 지내","응 그럭저럭 지내고 있어","DAILY"
"뭐하고 있었어","그냥 누워서 폰 보고 있었어","DAILY"
"심심한데 뭐하지","산책이라도 나가봐","DAILY"
"오랜만이야 잘 지냈어","어 오랜만이네 나야 늘 똑같지 뭐","DAILY"
"주말에 뭐할 거야","딱히 계획 없고 그냥 쉬려고","DAILY"
"요즘 바빠","어 좀 정신없이 바쁘네","DAILY"
"오늘 기분 어때","나쁘지 않아 그냥 평범해","DAILY"
"오늘 뭐 재밌는 일 없었어","딱히 없었어 그냥 조용한 하루였어","DAILY"
"좋은 아침이야","어 오늘도 화이팅하자","DAILY"
"잘 자 내일 봐","어 너도 잘 자","DAILY"
"밥은 먹었어","어 방금 먹었어 너는","DAILY"
"요즘 어떻게 지내냐","그냥저냥 지내고 있어","DAILY"
"오늘따라 왜 이렇게 피곤하지","잠을 못 자서 그런가보다","DAILY"
"심심해 죽겠다","나도 딱히 할 거 없어서 그냥 누워있어","DAILY"
"나 오늘 완전 럭키했어","오 뭔데 부럽다","DAILY"
"오늘따라 기분이 좋네","좋은 일 있었나보네 부럽다","DAILY"
"그냥 네 생각나서 연락했어","어 고맙다 나도 잘 지내고 있어","DAILY"
"이번 주말 뭐 하고 지냈어","그냥 집에서 뒹굴거리다 끝났어","DAILY"
"오늘 컨디션 어때","나쁘지 않은데 살짝 나른하네","DAILY"
"오늘 날씨 어때","밖에 좀 흐리고 쌀쌀한 편이야","DAILY"
"비오는데 우산 챙겨야할까","어 챙기는 게 좋을 듯해","DAILY"
"요즘 너무 덥지 않아","어 완전 찜통이야","DAILY"
"오늘 미세먼지 심한가","하늘 보니 좀 뿌옇긴 하네","DAILY"
"눈 온다는데 진짜야","어 일기예보에서 그러더라","DAILY"
"요즘 일교차가 너무 심해","맞아 아침저녁으로 따뜻하게 입어야 해","DAILY"
"태풍 온다는데 괜찮을까","외출은 좀 자제하는 게 좋을 것 같아","DAILY"
"오늘 바람 진짜 세다","그러게 걸어다니기 힘들 정도네","DAILY"
"오늘 습도 왜 이래","완전 눅눅하고 찝찝하네","DAILY"
"장마 언제 끝나나 몰라","이번 주까지는 이어진다더라","DAILY"
"오늘 밤 기온 많이 떨어진대","어 따뜻하게 입고 자야겠다","DAILY"
"벌써 가을바람이 부네","그러게 계절이 진짜 빠르다","DAILY"
"오늘 자외선 지수 높아","꽤 높은 것 같아 선크림 챙겨","DAILY"
"이번 겨울 진짜 추울까","벌써부터 걱정되긴 하네","DAILY"
"오늘 하늘 진짜 맑다","완전 파랗다 사진 찍기 딱이네","DAILY"
"점심 뭐 먹지","김치찌개 어때 든든하잖아","DAILY"
"저녁 메뉴 추천 좀","오늘은 삼겹살 어때","DAILY"
"근처에 맛있는 국밥집 있어","어 역 앞에 순대국밥집 괜찮더라","DAILY"
"매운 거 먹고 싶은데 뭐가 좋을까","마라탕 어때 딱 그 느낌이야","DAILY"
"다이어트 중인데 뭐 먹지","샐러드에 닭가슴살 곁들여봐","DAILY"
"오늘 회식 메뉴 추천해줘","삼겹살에 소주 조합이 무난하지","DAILY"
"배달 시켜 먹을까","좋지 오늘같은 날은 배달이 진리야","DAILY"
"라면 끓여 먹을까","어 계란 하나 풀어서 먹어봐","DAILY"
"디저트 뭐가 맛있을까","마카롱이나 티라미수 어때","DAILY"
"커피 마시고 싶은데 뭐 마실까","아메리카노 무난하게 좋지","DAILY"
"치킨 시킬까 피자 시킬까","오늘은 치킨 땡기는 날이야","DAILY"
"이 동네 맛집 좀 알려줘","시장 안에 있는 분식집이 유명해","DAILY"
"브런치 먹기 좋은 곳 있어","카페 거리 쪽에 브런치 맛집 많아","DAILY"
"야식 뭐 먹을까 고민돼","떡볶이랑 순대 어때","DAILY"
"회 좋아해","어 광어회 진짜 좋아해","DAILY"
"오늘 소고기 먹고 싶다","오 좋다 나도 껴줘","DAILY"
"편의점 도시락 뭐가 맛있어","제육볶음 도시락 괜찮더라","DAILY"
"김밥 좋아해","어 참치김밥 완전 좋아해","DAILY"
"매콤한 국물 요리 추천해줘","부대찌개 어때 얼큰하니 좋아","DAILY"
"아침 뭐 먹었어","그냥 토스트에 우유 마셨어","DAILY"
"오늘 뭘 먹어야 살이 안 찔까","저녁은 가볍게 먹는 게 좋아","DAILY"
"빵집 추천 좀","골목 안쪽에 있는 빵집이 유명해","DAILY"
"오늘따라 단 게 당기네","초콜릿 하나 먹어봐","DAILY"
"술안주로 뭐가 좋을까","오징어무침이나 골뱅이무침 어때","DAILY"
"국물 요리 뭐가 땡길까","갈비탕 어때 든든하잖아","DAILY"
"제주도 2박3일 여행코스 추천해줘","첫날은 동쪽 해안 돌고 둘째날은 오름 가봐","DAILY"
"부산 여행 가는데 어디가 좋아","해운대랑 광안리 야경은 꼭 봐야지","DAILY"
"국내여행 추천 좀","강원도 가서 바다 보고 오는 거 어때","DAILY"
"혼자 여행가기 좋은 곳 있어","경주 어때 조용히 걷기 좋아","DAILY"
"이번 휴가 어디로 갈까 고민돼","가까운 바다로 훌쩍 떠나봐","DAILY"
"여행 짐 쌀 때 뭐가 필수야","보조배터리랑 상비약은 꼭 챙겨","DAILY"
"캠핑 가기 좋은 계절이 언제야","가을이 제일 선선하고 좋아","DAILY"
"해외여행 가고 싶은데 어디 좋아","요즘은 일본이 가성비 좋더라","DAILY"
"당일치기 여행 어디 갈까","근교 수목원이나 계곡 어때","DAILY"
"여행 가서 뭐 하는 게 제일 좋아","그냥 걷다가 맛있는 거 먹는 거지","DAILY"
"등산 가기 좋은 산 추천해줘","북한산 코스 완만해서 괜찮아","DAILY"
"여행 준비할 때 뭐부터 해야 해","숙소랑 교통편부터 잡아","DAILY"
"바다 여행 가고 싶은데 어디가 좋을까","강릉이나 속초 추천해","DAILY"
"여행 갈 때 사진 잘 찍는 팁 있어","노을 질 때 찍으면 감성 사진 나와","DAILY"
"온천 여행 가고 싶은데 어디 좋아","충남 쪽 온천 마을 괜찮더라","DAILY"
"요즘 너무 피곤해","무리하지 말고 좀 쉬어","DAILY"
"스트레스 너무 쌓였어","잠깐 산책이라도 하고 와봐","DAILY"
"오늘 진짜 힘든 하루였어","고생했어 오늘은 푹 쉬어","DAILY"
"짜증나는 일이 있었어","무슨 일인데 얘기해봐","DAILY"
"너무 우울해","무슨 일 있었어 얘기해도 돼","DAILY"
"화가 나서 미치겠어","일단 심호흡 좀 해봐","DAILY"
"요즘 의욕이 하나도 없어","그런 날도 있는 거야 너무 자책하지 마","DAILY"
"눈물이 자꾸 나","힘든 일 있었구나 괜찮아질 거야","DAILY"
"왜 이렇게 외롭지","나라도 옆에 있어줄게","DAILY"
"걱정이 너무 많아","하나씩 천천히 해결하면 돼","DAILY"
"오늘 너무 지쳤어","오늘은 일찍 자 그게 최고야","DAILY"
"불안해서 잠이 안 와","따뜻한 차 한 잔 마셔봐","DAILY"
"기분이 널뛰기해","그럴 때도 있지 너무 신경쓰지 마","DAILY"
"뭔가 허무해","잠깐 쉬어가는 것도 나쁘지 않아","DAILY"
"오늘따라 예민해","컨디션 안 좋은가 보다 좀 쉬어","DAILY"
"요즘 취미 뭐 있어","요즘은 그림 그리는 거에 빠졌어","DAILY"
"새로운 취미 찾고 싶은데 뭐가 좋을까","요가나 클라이밍 한번 해봐","DAILY"
"주말에 할 만한 취미 추천해줘","베이킹 한번 해보는 거 어때","DAILY"
"요즘 뜨개질 배우고 있어","오 신기하다 뭐 만들고 있어","DAILY"
"그림 그리는 거 어렵지 않아","처음엔 어려운데 하다 보면 재밌어","DAILY"
"사진 찍는 거 좋아해","어 풍경 사진 찍는 거 좋아해","DAILY"
"악기 하나 배우고 싶은데 뭐가 쉬울까","우쿨렐레가 배우기 쉬운 편이야","DAILY"
"독서모임 해본 적 있어","어 한번 해봤는데 생각보다 재밌더라","DAILY"
"요즘 뭐 수집해","피규어 조금씩 모으고 있어","DAILY"
"원데이 클래스 추천해줄래","도자기 공방 클래스 재밌더라","DAILY"
"요즘 잠을 잘 못 자","자기 전에 폰 좀 멀리 해봐","DAILY"
"낮잠 잤더니 밤에 잠이 안와","낮잠은 짧게 자는 게 좋아","DAILY"
"요즘 너무 졸려","잠이 부족한가 보다 일찍 자","DAILY"
"밤새서 그런지 머리가 띵해","오늘은 일찍 좀 자","DAILY"
"꿈을 너무 생생하게 꿔","그런 날 있지 신기하긴 하다","DAILY"
"자꾸 늦게 자게 돼","알람 하나 맞춰놓고 일찍 누워봐","DAILY"
"몸이 으슬으슬한데 감기인가","푹 쉬고 따뜻하게 있어봐","DAILY"
"오늘따라 몸이 무거워","컨디션 관리 좀 해야겠다","DAILY"
"아침에 못 일어나겠어","알람 여러 개 맞춰봐","DAILY"
"요즘 코를 곤다고 하더라","피곤이 많이 쌓였나보다","DAILY"
"강아지 키우고 싶은데 어떤 종이 좋을까","초보라면 말티즈 키우기 편해","DAILY"
"고양이가 밥을 안 먹어","갑자기 그러면 한번 병원 가보는 게 좋아","DAILY"
"반려동물 처음 키우는데 뭐부터 준비해야해","사료랑 배변판부터 챙겨","DAILY"
"강아지 산책 얼마나 시켜야해","하루 두 번 정도는 시켜주는 게 좋아","DAILY"
"우리집 냥이가 너무 귀여워","사진 좀 보여줘 궁금하다","DAILY"
"강아지 짖는 버릇 어떻게 고쳐","훈련사한테 상담받아보는 것도 좋아","DAILY"
"반려동물이랑 여행 가능한 곳 있어","요즘 펫동반 숙소 많이 생겼어","DAILY"
"고양이 발톱 언제 깎아줘야해","한 2주에 한번 정도면 돼","DAILY"
"강아지가 요즘 밥투정이 심해","사료 바꿔보는 것도 방법이야","DAILY"
"반려동물 키우면 뭐가 제일 힘들어","여행 갈 때 맡길 곳 찾는 게 힘들어","DAILY"
"요즘 운동 뭐 하고 있어","요즘 러닝 시작했어","DAILY"
"헬스장 다니는데 뭐부터 해야해","처음엔 기본 유산소부터 해봐","DAILY"
"요가 처음 하는데 어렵지 않아","처음엔 뻣뻣한데 하다보면 늘어","DAILY"
"홈트 추천해줄래","스쿼트랑 플랭크부터 시작해봐","DAILY"
"운동할 시간이 없어","짧게라도 스트레칭이라도 해봐","DAILY"
"러닝 시작했는데 무릎이 아파","신발이랑 자세 한번 체크해봐","DAILY"
"필라테스 배우고 싶은데 어때","자세 교정에 진짜 좋아","DAILY"
