"질의","응답","카테고리"
"ㅁㄴㅇㄹ","질문을 이해하지 못했습니다. 다시 입력해주세요.","ANOMALY"
"ㄱㄴㄷㄹ","무슨 말씀인지 파악이 어려워요. 다시 한 번 말씀해 주시겠어요?","ANOMALY"
"ㅋㅌㅊㅍ","죄송하지만 내용을 알아듣지 못했어요. 다른 방식으로 질문해 주세요.","ANOMALY"
"ㅂㅈㄷㄱ","입력하신 내용을 이해할 수 없습니다. 정확한 문장으로 다시 입력해 주세요.","ANOMALY"
"ㅅㅎㅇㅁ","이해하지 못한 질문이에요. 조금 더 구체적으로 말씀해 주시겠어요?","ANOMALY"
"ㄴㄹㅎㅋ","요청하신 내용을 파악하지 못했습니다. 다시 시도해 주세요.","ANOMALY"
"ㅍㅌㅊㅋ","어떤 의미인지 알 수 없어요. 다시 한번 정리해서 말씀해 주세요.","ANOMALY"
"ㅇㅁㄴㅇㄹㅎ","인식할 수 없는 입력입니다. 올바른 문장으로 다시 입력해 주세요.","ANOMALY"
"ㄷㄷㄷㄷ","질문 내용을 확인하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"ㅂㅂㅂㅂㅂ","무슨 뜻인지 이해하기 어렵네요. 다시 말씀해 주시겠어요?","ANOMALY"
"ㅈㅈㅈㅈ","해당 입력은 인식되지 않았습니다. 다시 한번 확인 후 입력해 주세요.","ANOMALY"
"ㄱㄱㄱㄱㄱ","죄송해요, 질문을 알아듣지 못했어요. 다른 표현으로 다시 물어봐 주세요.","ANOMALY"
"ㅍㅍㅍㅍ","정확한 의미를 파악할 수 없습니다. 다시 입력해 주시길 바랍니다.","ANOMALY"
"ㅊㅊㅊㅊㅊ","이해되지 않는 문장이에요. 조금 더 명확하게 적어주세요.","ANOMALY"
"ㅌㅌㅌㅌ","질문을 인식하지 못했습니다. 다시 한번 입력해 주세요.","ANOMALY"
"ㅅㅅㅅㅅㅅ","무슨 내용인지 잘 모르겠어요. 다시 말씀해주시겠어요?","ANOMALY"
"ㄴㄴㄴㄴㄴ","알아들을 수 없는 입력입니다. 정상적인 문장으로 시도해 주세요.","ANOMALY"
"ㄹㄹㄹㄹ","질문이 명확하지 않아요. 다시 정리해서 입력해 주세요.","ANOMALY"
"ㄲㄸㅃㅆㅉ","이 내용은 이해하기 어렵습니다. 다시 질문해 주시겠어요?","ANOMALY"
"ㄱㅅㄷㅈㅂ","요청을 처리할 수 없습니다. 올바른 형식으로 다시 입력해 주세요.","ANOMALY"
"ㅁㅁㅁㄴㄴㄴ","죄송하지만 무슨 말인지 모르겠어요. 다시 한번 말해주실래요?","ANOMALY"
"ㅎㄴㄷㄱㅅ","질문 의도를 파악하지 못했어요. 다시 입력 부탁드려요.","ANOMALY"
"ㅈㄷㄱㅅㅂ","문장이 인식되지 않았습니다. 다시 시도해 주시기 바랍니다.","ANOMALY"
"ㅋㄲㄸㅃㅆ","이해할 수 없는 내용이에요. 다른 방식으로 다시 질문해 주세요.","ANOMALY"
"ㄴㅁㅇㄹㅎㅅ","정확히 어떤 걸 물어보시는지 모르겠어요. 다시 입력해 주세요.","ANOMALY"
"ㅏㅑㅓㅕ","알 수 없는 입력입니다. 다시 한번 확인해 주세요.","ANOMALY"
"ㅗㅛㅜㅠ","질문을 파악할 수 없어요. 조금 더 자세히 적어주시겠어요?","ANOMALY"
"ㅡㅣㅐㅔ","죄송합니다, 이해하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"ㅘㅙㅚㅝ","무엇을 말씀하시는지 이해하기 힘들어요. 다시 시도해 주세요.","ANOMALY"
"ㅏㅏㅏㅏ","해당 문장을 인식하지 못했습니다. 다시 작성해 주세요.","ANOMALY"
"ㅓㅓㅓㅓ","이해가 안 되는 질문이네요. 다시 한번 물어봐 주시겠어요?","ANOMALY"
"ㅜㅜㅜㅜ","질문 내용이 불명확합니다. 정확하게 다시 입력해 주세요.","ANOMALY"
"ㅗㅗㅗㅗ","어떤 답변을 드려야 할지 모르겠어요. 다시 말씀해 주세요.","ANOMALY"
"ㅣㅣㅣㅣ","문의하신 내용을 알아채지 못했습니다. 다시 입력해 주시겠어요?","ANOMALY"
"ㅐㅐㅐㅐ","죄송해요, 이해가 잘 안 돼요. 다시 한번 적어주세요.","ANOMALY"
"ㅑㅑㅑㅑ","정상적인 질문으로 인식되지 않았습니다. 다시 입력해 주세요.","ANOMALY"
"ㅔㅔㅔㅔ","무슨 뜻으로 입력하신 건지 모르겠어요. 다시 부탁드려요.","ANOMALY"
"ㅝㅝㅝㅝ","질문을 해석할 수 없습니다. 다른 표현으로 다시 입력해 주세요.","ANOMALY"
"ㅟㅟㅟㅟ","이 입력은 의미를 알 수 없어요. 다시 한번 시도해 주시겠어요?","ANOMALY"
"ㅢㅢㅢㅢ","죄송하지만 요청을 이해하지 못했습니다. 다시 입력해 주세요.","ANOMALY"
"ㅋㅋㅋㅋㅋㅋ","질문을 이해하지 못했습니다. 다시 입력해주세요.","ANOMALY"
"ㅋㅋㅋ","무슨 말씀인지 파악이 어려워요. 다시 한 번 말씀해 주시겠어요?","ANOMALY"
"ㅎㅎㅎㅎㅎ","죄송하지만 내용을 알아듣지 못했어요. 다른 방식으로 질문해 주세요.","ANOMALY"
"ㅎㅎ","입력하신 내용을 이해할 수 없습니다. 정확한 문장으로 다시 입력해 주세요.","ANOMALY"
"ㅠㅠㅠㅠ","이해하지 못한 질문이에요. 조금 더 구체적으로 말씀해 주시겠어요?","ANOMALY"
"ㅠㅠ","요청하신 내용을 파악하지 못했습니다. 다시 시도해 주세요.","ANOMALY"
"ㅜㅜㅜㅜㅜ","어떤 의미인지 알 수 없어요. 다시 한번 정리해서 말씀해 주세요.","ANOMALY"
"ㅜㅜ","인식할 수 없는 입력입니다. 올바른 문장으로 다시 입력해 주세요.","ANOMALY"
"zzzzzzz","질문 내용을 확인하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"zzz","무슨 뜻인지 이해하기 어렵네요. 다시 말씀해 주시겠어요?","ANOMALY"
"haha ha ha ha","해당 입력은 인식되지 않았습니다. 다시 한번 확인 후 입력해 주세요.","ANOMALY"
"ㅋㅎㅋㅎㅋㅎ","죄송해요, 질문을 알아듣지 못했어요. 다른 표현으로 다시 물어봐 주세요.","ANOMALY"
"lolololol","정확한 의미를 파악할 수 없습니다. 다시 입력해 주시길 바랍니다.","ANOMALY"
"ㅗㅗㅗㅗㅗ","이해되지 않는 문장이에요. 조금 더 명확하게 적어주세요.","ANOMALY"
"킄킄킄","질문을 인식하지 못했습니다. 다시 한번 입력해 주세요.","ANOMALY"
"흐흐흐흐흐","무슨 내용인지 잘 모르겠어요. 다시 말씀해주시겠어요?","ANOMALY"
"크크크크","알아들을 수 없는 입력입니다. 정상적인 문장으로 시도해 주세요.","ANOMALY"
"흑흑흑흑","질문이 명확하지 않아요. 다시 정리해서 입력해 주세요.","ANOMALY"
"헐헐헐헐헐","이 내용은 이해하기 어렵습니다. 다시 질문해 주시겠어요?","ANOMALY"
"어어어어어어","요청을 처리할 수 없습니다. 올바른 형식으로 다시 입력해 주세요.","ANOMALY"
"음음음음음","죄송하지만 무슨 말인지 모르겠어요. 다시 한번 말해주실래요?","ANOMALY"
"그그그그그","질문 의도를 파악하지 못했어요. 다시 입력 부탁드려요.","ANOMALY"
"응응응응응","문장이 인식되지 않았습니다. 다시 시도해 주시기 바랍니다.","ANOMALY"
"하하하하하하하","이해할 수 없는 내용이에요. 다른 방식으로 다시 질문해 주세요.","ANOMALY"
"히히히히히","정확히 어떤 걸 물어보시는지 모르겠어요. 다시 입력해 주세요.","ANOMALY"
"asdfkjh 123","알 수 없는 입력입니다. 다시 한번 확인해 주세요.","ANOMALY"
"qwerqwer","질문을 파악할 수 없어요. 조금 더 자세히 적어주시겠어요?","ANOMALY"
"zxcvbnm","죄송합니다, 이해하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"asdasdasd","무엇을 말씀하시는지 이해하기 힘들어요. 다시 시도해 주세요.","ANOMALY"
"qweqweqwe","해당 문장을 인식하지 못했습니다. 다시 작성해 주세요.","ANOMALY"
"lkjhlkjh","이해가 안 되는 질문이네요. 다시 한번 물어봐 주시겠어요?","ANOMALY"
"mnbvcxz","질문 내용이 불명확합니다. 정확하게 다시 입력해 주세요.","ANOMALY"
"poiuytrewq","어떤 답변을 드려야 할지 모르겠어요. 다시 말씀해 주세요.","ANOMALY"
"asdfghjkl","문의하신 내용을 알아채지 못했습니다. 다시 입력해 주시겠어요?","ANOMALY"
"qazwsxedc","죄송해요, 이해가 잘 안 돼요. 다시 한번 적어주세요.","ANOMALY"
"zaqwsxcde","정상적인 질문으로 인식되지 않았습니다. 다시 입력해 주세요.","ANOMALY"
"tyuiopasdf","무슨 뜻으로 입력하신 건지 모르겠어요. 다시 부탁드려요.","ANOMALY"
"vbnmasdf","질문을 해석할 수 없습니다. 다른 표현으로 다시 입력해 주세요.","ANOMALY"
"xcvbqwer","이 입력은 의미를 알 수 없어요. 다시 한번 시도해 주시겠어요?","ANOMALY"
"rewqasdf","죄송하지만 요청을 이해하지 못했습니다. 다시 입력해 주세요.","ANOMALY"
"fdsazxcv","질문을 이해하지 못했습니다. 다시 입력해주세요.","ANOMALY"
"jklasdf","무슨 말씀인지 파악이 어려워요. 다시 한 번 말씀해 주시겠어요?","ANOMALY"
"uiopqwer","죄송하지만 내용을 알아듣지 못했어요. 다른 방식으로 질문해 주세요.","ANOMALY"
"ghjklzxc","입력하신 내용을 이해할 수 없습니다. 정확한 문장으로 다시 입력해 주세요.","ANOMALY"
"bnmqwerty","이해하지 못한 질문이에요. 조금 더 구체적으로 말씀해 주시겠어요?","ANOMALY"
"wsxedcrfv","요청하신 내용을 파악하지 못했습니다. 다시 시도해 주세요.","ANOMALY"
"tgbyhnujm","어떤 의미인지 알 수 없어요. 다시 한번 정리해서 말씀해 주세요.","ANOMALY"
"ikolp;'[","인식할 수 없는 입력입니다. 올바른 문장으로 다시 입력해 주세요.","ANOMALY"
"qazxswedc","질문 내용을 확인하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"mlpoiknjb","무슨 뜻인지 이해하기 어렵네요. 다시 말씀해 주시겠어요?","ANOMALY"
"asd123zxc","해당 입력은 인식되지 않았습니다. 다시 한번 확인 후 입력해 주세요.","ANOMALY"
"1a2b3c4d","죄송해요, 질문을 알아듣지 못했어요. 다른 표현으로 다시 물어봐 주세요.","ANOMALY"
