"질의","응답","카테고리"
"스위치에서 특정 포트가 어떤 VLAN에 물려있는지 어떻게 확인해?","```
show interfaces switchport
```
- Access Mode VLAN 항목에서 현재 VLAN 확인
- 트렁크 포트면 Trunking VLANs 항목에서 허용 목록 확인","IT"
"STP에서 포트가 blocking 상태인지 어떻게 확인해?","```
show spanning-tree interface gi1/0/1
```
- Role이 Altn/Back이면 blocking 상태
- Root Bridge 우선순위도 같이 확인해서 의도한 토폴로지인지 체크","IT"
"방화벽에 새 allow 룰 넣었는데 여전히 차단되는데 정책 순서 때문일까?","확인 순서:
1. 위쪽에 있는 deny 룰이 먼저 매치되고 있는지 hit count 확인
2. 새 룰이 올바른 방향(inbound/outbound)에 들어갔는지 확인
3. 룰 저장 후 commit/apply 여부 확인
4. 소스/목적지 조건에 NAT 이전/이후 주소 헷갈렸는지 확인
- top-down 매치 방식이라 순서만 바꿔도 해결되는 경우가 많음","IT"
"iptables에서 특정 룰만 골라서 삭제하려면?","```
iptables -L INPUT --line-numbers
iptables -D INPUT 3
```
- 라인 번호로 지정 삭제가 제일 안전
- 저장 안 하면 재부팅 시 초기화되니 저장 명령 별도 실행 필요","IT"
"클라이언트에서 SSL handshake failure 뜨는데 원인이 뭘까?","확인 순서:
1. openssl s_client로 서버 인증서 체인 확인
```
openssl s_client -connect host:443 -servername host
```
2. 클라이언트-서버 간 지원 TLS 버전/cipher suite 겹치는지 확인
3. 중간 인증서 누락 여부 (Root만 있고 Intermediate 빠진 경우 흔함)
4. 서버 시간 오차로 인증서 유효기간 벗어난 경우
- 방화벽/프록시가 SNI 기반으로 차단하는 경우도 놓치기 쉬움","IT"
"인증서 체인 파일 만들 때 순서는 어떻게 돼?","- Leaf(서버 인증서) → Intermediate → Root 순서로 이어 붙임
- Root는 클라이언트가 이미 신뢰하고 있어서 생략 가능한 경우 많음
- 순서 틀리면 일부 클라이언트에서 체인 검증 실패","IT"
"L4 LB에서 특정 백엔드만 계속 헬스체크 fail 뜨는데 뭐부터 봐야해?","확인 순서:
1. LB에서 해당 백엔드로 직접 확인
```
curl -v http://backend_ip:port/health
```
2. 헬스체크 URI, 포트, 기대 응답 코드 설정값 확인
3. 백엔드 서버 프로세스/포트 리스닝 상태 확인
4. 서버 방화벽에서 LB IP 허용 여부 확인
5. 타임아웃 값이 너무 짧게 잡혀있는지 확인
- 헬스체크 interval/threshold와 실제 앱 응답 시간 안 맞으면 flapping 발생","IT"
"Site-to-Site VPN 터널이 자꾸 끊기는데 원인 후보가 뭐가 있을까?","확인 순서:
1. Phase1/Phase2 SA 상태 확인
```
show crypto isakmp sa
show crypto ipsec sa
```
2. 양쪽 PSK, IKE 버전, 암호화 알고리즘 일치 여부
3. NAT-T 필요한 구간인데 비활성화된 경우
4. DPD(Dead Peer Detection) 타임아웃 설정 확인
5. 상대측 ISP 회선 불안정 여부
- MTU 문제로 fragmentation 발생해서 간헐적 끊김 나는 경우도 흔함","IT"
"특정 포트로 오가는 패킷만 tcpdump로 캡처하려면?","```
tcpdump -i eth0 port 443 -w capture.pcap
```
- 특정 호스트로 좁히려면 and host 조건 추가
- 캡처 크기 크면 -c로 패킷 수 제한 걸어두는 게 안전","IT"
"특정 도메인의 A 레코드만 조회하려면?","```
dig +short example.com A
```
- 특정 네임서버로 직접 질의하려면 @ns_ip 옵션 추가
- 캐시 영향 배제하려면 +trace로 루트부터 확인","IT"
"방화벽 TCP 세션 타임아웃 기본값이 왜 중요해?","- 오래 걸리는 배치/파일전송이 타임아웃보다 길면 중간에 세션 끊김
- 기본값이 보통 3600초 전후라 장시간 유지되는 커넥션은 별도 정책 필요
- 타임아웃 늘리면 방화벽 세션 테이블 메모리 사용량도 같이 늘어남","IT"
"L4 로드밸런서에서 round robin이랑 least connection 차이가 뭐야?","- round robin은 순서대로 균등 분배, 서버 부하 상태는 고려 안함
- least connection은 현재 연결 수 가장 적은 서버로 우선 배분
- 세션 길이가 서버마다 크게 다르면 least connection이 더 안정적","IT"
"L7 LB에서 특정 path로 들어온 요청이 원하는 백엔드로 안 가는데 뭐 봐야해?","확인 순서:
1. path 매칭 rule 순서 확인 (먼저 매치되는 룰이 우선 적용되는 구조인 경우 많음)
2. 정규식/prefix 매칭 오타 여부
3. Host 헤더 기반 라우팅과 병행 시 두 조건 충돌 여부
4. 백엔드 pool에 실제로 해당 서버 등록됐는지 확인
- 캐시된 라우팅 테이블 때문에 설정 반영 안 된 것처럼 보이는 경우 있음, LB reload 필요","IT"
"TLS 1.2랑 1.3 핸드셰이크 차이가 뭐야?","- 1.3은 핸드셰이크 라운드트립이 1번으로 줄어서 더 빠름
- 1.3은 약한 cipher suite들(RC4, CBC 등) 제거됨
- 0-RTT 재접속 지원하지만 리플레이 공격 가능성 있어 사용 시 주의","IT"
"인증서 만료일 커맨드로 바로 확인하는 법?","```
openssl x509 -enddate -noout -in cert.pem
```
- 원격 서버 것도 s_client로 받아서 파이프 연결하면 바로 확인 가능
- 만료 임박 알림은 모니터링에 등록해두는 게 안전","IT"
"OSPF neighbor가 계속 DOWN/INIT 상태에서 안 올라오는데 뭐부터 봐야해?","확인 순서:
1. 인터페이스 상태와 IP 서브넷 일치 여부
```
show ip ospf neighbor
show ip ospf interface
```
2. Area ID, 인증 방식/키 일치 여부
3. Hello/Dead 타임 설정 불일치
4. MTU 불일치 (DB 교환 단계에서 멈추는 전형적 증상)
5. 중간 방화벽/ACL에서 OSPF 멀티캐스트(224.0.0.5) 차단 여부
- MTU 미스매치는 neighbor가 EXSTART에서 멈추는 게 특징","IT"
"같은 IP인데 접속 때마다 다른 장비로 붙는 것 같은데 ARP 문제인지 어떻게 확인해?","확인 순서:
1. 해당 IP의 ARP 응답이 매번 다른 MAC으로 오는지 확인
```
arp -a | grep 192.168.1.10
```
2. 중복 IP 할당(DHCP static + 수동 할당 충돌) 여부 확인
3. VRRP/HSRP 가상 IP인 경우 정상 동작(활성 노드 변경)인지 구분
4. 스위치 mac address-table에서 해당 MAC이 여러 포트에 학습되는지 확인
- gratuitous ARP 스푸핑 의심되면 포트 보안이나 DAI(Dynamic ARP Inspection) 적용 검토","IT"
"특정 구간에서만 큰 패킷이 안 나가는 것 같은데 MTU 문제인지 어떻게 확인해?","확인 순서:
1. DF 비트 설정하고 크기 늘려가며 ping 테스트
```
ping -M do -s 1472 target_ip
```
2. 응답 없으면 크기 줄여가며 임계값 찾기
3. 터널 구간(VPN, GRE) 있으면 오버헤드 고려해서 MTU 재계산
4. 중간 장비에서 ICMP fragmentation needed 차단 여부 확인
- PMTUD 차단된 환경이면 큰 패킷만 조용히 드랍돼서 원인 찾기 어려움","IT"
"특정 내부 IP가 NAT 되어 나가는데도 외부에서 접속 응답이 안 오는데 뭘 확인해야해?","확인 순서:
1. NAT 매핑 테이블에서 실제 세션 생성됐는지 확인
```
show nat rule detail | include 10.0.0.5
show session all | include 10.0.0.5
```
2. static NAT vs dynamic pool 설정 꼬였는지 확인
3. 반대 방향(inbound) 허용 정책 별도로 있는지 확인
4. ISP 구간에서 해당 외부 IP 라우팅 안 되고 있는지 확인
- NAT은 됐는데 리턴 트래픽 라우팅 안 되는 케이스가 의외로 많음","IT"
"스위치에서 특정 포트 트래픽을 분석용으로 미러링하려면?","```
monitor session 1 source interface gi1/0/5
monitor session 1 destination interface gi1/0/10
```
- destination 포트는 일반 트래픽 용도로 같이 못 씀
- 미러링 대역폭이 destination 포트 용량 넘으면 드랍 발생","IT"
"BGP 피어가 계속 flapping 하는데 원인 후보가 뭐가 있을까?","확인 순서:
1. 로그에서 flap 원인 메시지 확인 (hold timer expired인지, reset인지)
```
show ip bgp neighbor x.x.x.x
```
2. 물리 회선 불안정 여부 (interface error/drop 카운터 확인)
3. Hold timer/Keepalive 값 양쪽 불일치
4. 최대 prefix 제한 초과로 세션 강제 종료되는 경우
5. MTU나 TCP MSS 문제로 대량 업데이트 시 세션 끊기는 경우
- 회선은 멀쩡한데 keepalive 처리 지연으로 flap 나는 경우도 있어서 CPU 부하도 같이 체크","IT"
