"질의","응답","카테고리"
"올해 개봉한 SF 영화 추천해줘","최근 SF는 '듄 파트2'가 볼만해, 스케일도 크고 스토리도 탄탄하더라","CREATIVE"
"우울할 때 보기 좋은 영화 있어?","코미디 장르 추천해, '가디언즈 오브 갤럭시' 같은 거 보면 기분 풀려","CREATIVE"
"크리스토퍼 놀란 영화 중에 뭐가 제일 나아?","개인적으론 '인터스텔라' 추천, 몰입감이 장난 아니야","CREATIVE"
"아이랑 같이 볼만한 애니메이션 영화 뭐 있을까","'인사이드 아웃' 시리즈 괜찮아, 아이도 어른도 재밌게 봐","CREATIVE"
"무서운 영화 하나 추천해줘","'유전'이나 '컨저링' 시리즈 추천, 분위기가 진짜 소름 돋아","CREATIVE"
"로맨스 영화 볼만한 거 있어?","'라라랜드' 어때, 음악이랑 영상미가 예술이야","CREATIVE"
"넷플릭스에서 볼만한 영화 뭐 있을까","요즘엔 '글래스 어니언' 추천, 추리물 좋아하면 딱이야","CREATIVE"
"전쟁 영화 명작 좀 알려줘","'라이언 일병 구하기'는 무조건 봐야 돼, 오프닝부터 압도적이야","CREATIVE"
"마블 영화 순서대로 보려면 뭐부터 봐야 해","'아이언맨 1편'부터 시작하는 게 제일 무난해","CREATIVE"
"짧고 가볍게 볼 영화 추천해줘","'내 아내의 모든 것' 같은 로맨틱 코미디 어때, 부담 없이 볼 수 있어","CREATIVE"
"좀비 영화 중에 재밌는 거 있어?","'부산행' 강추, 긴장감 최고고 감동도 있어","CREATIVE"
"힐링되는 영화 추천해줘","'리틀 포레스트' 보면 마음이 편안해져","CREATIVE"
"반전 있는 영화 뭐 있을까","'유주얼 서스펙트' 결말 보고 진짜 놀랐어","CREATIVE"
"애니메이션 명작 하나 알려줘","'너의 이름은.' 안 보면 후회해, 영상미랑 스토리 다 좋아","CREATIVE"
"최근에 재밌게 본 영화 있어?","요즘 '오펜하이머' 얘기 많이 나오더라, 몰입도 진짜 높아","CREATIVE"
"킬링타임용 액션 영화 추천해줘","'존 윅' 시리즈 보면 시간 순삭이야","CREATIVE"
"다큐멘터리 영화 볼만한 거 있어?","'아이엠 그레타' 추천, 생각할 거리 많아","CREATIVE"
"시간여행 소재 영화 뭐가 재밌어?","'어바웃 타임' 좋아, 감동적이면서 로맨틱해","CREATIVE"
"뮤지컬 영화 추천해줘","'위대한 쇼맨' 노래도 좋고 화려해","CREATIVE"
"스릴러 영화 뭐 볼까?","'나이브스 아웃' 추천, 추리하는 재미가 쏠쏠해","CREATIVE"
"우주 배경 영화 있어?","'그래비티' 보면 진짜 우주에 있는 느낌 들어","CREATIVE"
"명절에 가족이랑 볼만한 영화 있어?","'극한직업' 어때, 웃기고 부담 없어","CREATIVE"
"봉준호 감독 영화 중에 뭐가 좋아?","'기생충'은 무조건 봐야지, 짜임새가 완벽해","CREATIVE"
"실화 바탕 영화 추천해줘","'설리: 허드슨강의 기적' 감동적이야","CREATIVE"
"디즈니 명작 애니메이션 알려줘","'라이온 킹' 클래식이지만 지금 봐도 좋아","CREATIVE"
"90년대 감성 영화 뭐 있을까?","'이터널 선샤인' 감성 제대로야","CREATIVE"
"첩보 영화 추천해줘","'미션 임파서블' 시리즈 액션 진짜 화려해","CREATIVE"
"판타지 영화 명작 알려줘","'반지의 제왕' 3부작은 기본이지","CREATIVE"
"잔잔한 일본 영화 추천해줘","'스즈메의 문단속' 좋아, 감성적이야","CREATIVE"
"여름에 보기 좋은 시원한 느낌 영화 있어?","물 배경 영화들 찾아봐, 시원한 느낌 나서 좋아","CREATIVE"
"최근 흥행한 한국 영화 뭐 있어?","'파묘' 요즘 화제더라, 미스터리하고 몰입감 있어","CREATIVE"
"크리스마스에 볼만한 영화 추천해줘","'나 홀로 집에' 매년 봐도 재밌어","CREATIVE"
"인생 영화로 꼽을만한 거 추천해줘","'쇼생크 탈출'은 진짜 명작이야, 안 본 사람 없어야 돼","CREATIVE"
"코미디 스페셜 볼만한 거 있어?","넷플릭스 코미디 스페셜들 볼만해, 웃음 포인트 확실해","CREATIVE"
"히어로 영화 중에 제일 재밌는 거 뭐야?","'스파이더맨: 어크로스 더 스파이더버스' 영상미 미쳤어","CREATIVE"
"심리 스릴러 영화 알려줘","'샤이닝' 보면 오싹해, 명작이야","CREATIVE"
"시리즈로 볼만한 영화 프랜차이즈 있어?","'해리포터' 시리즈 정주행 추천","CREATIVE"
"감동적인 가족 영화 추천해줘","'코코' 보면 눈물 안 참아져","CREATIVE"
"우정 소재 영화 뭐 있을까?","'스탠 바이 미' 좋아, 잔잔하고 따뜻해","CREATIVE"
"액션 코미디 영화 알려줘","'나쁜 녀석들' 시리즈 시원하고 웃겨","CREATIVE"
"비오는 날 듣기 좋은 재즈 플레이리스트 추천해줘","빌 에반스 트리오 들어봐, 빗소리랑 찰떡이야","CREATIVE"
"운동할 때 듣기 좋은 노래 추천해줘","신나는 힙합이나 EDM 위주로 들으면 텐션 올라가","CREATIVE"
"드라이브할 때 듣기 좋은 노래 있어?","잔잔한 시티팝 플레이리스트 틀어봐, 분위기 좋아","CREATIVE"
"요즘 인기 많은 케이팝 노래 뭐 있어?","뉴진스나 아이브 신곡 들어봐, 요즘 대세야","CREATIVE"
"발라드 명곡 추천해줘","아이유의 '밤편지' 언제 들어도 좋아","CREATIVE"
"공부할 때 듣기 좋은 음악 있을까?","가사 없는 로파이 힙합 틀어놓으면 집중 잘 돼","CREATIVE"
"옛날 감성 팝송 추천해줘","퀸의 'Bohemian Rhapsody' 시대를 초월한 명곡이지","CREATIVE"
"신나는 파티 음악 추천해줘","다프트 펑크 노래 틀면 분위기 확 살아나","CREATIVE"
"이별 후에 듣기 좋은 노래 있어?","슬픈 발라드 몰아 듣는 것도 나쁘지 않아, 성시경 노래 추천해","CREATIVE"
"클래식 입문하기 좋은 곡 뭐야?","비발디 사계부터 들어봐, 익숙한 멜로디라 편해","CREATIVE"
"최근 나온 앨범 중에 괜찮은 거 있어?","요즘 화제인 아티스트 정규 앨범 한번 들어봐, 완성도 높다는 평 많아","CREATIVE"
"인디밴드 추천해줘","잔나비 노래 들어봐, 감성적이고 독특해","CREATIVE"
"신나는 트로트 노래 있어?","임영웅 노래 들어봐, 요즘 진짜 인기 많아","CREATIVE"
"록발라드 명곡 알려줘","건즈 앤 로지스의 'November Rain' 강추","CREATIVE"
"잠들기 전에 듣기 좋은 노래 추천해줘","잔잔한 어쿠스틱 노래 들으면 마음이 편안해져","CREATIVE"
"뮤지컬 넘버 중에 좋은 거 있어?","'레미제라블'의 'Do You Hear the People Sing' 웅장하고 좋아","CREATIVE"
"여름에 어울리는 노래 추천해줘","시원한 팝이나 레게 느낌 곡들 들어봐, 여름 감성 딱이야","CREATIVE"
"랩 잘하는 아티스트 추천해줘","켄드릭 라마 들어봐, 라임이랑 메시지가 진짜 탄탄해","CREATIVE"
"노래방 가면 부르기 좋은 곡 뭐 있을까?","신나는 곡으로는 god의 '거짓말' 부르면 분위기 좋아","CREATIVE"
"카페에서 틀어놓기 좋은 음악 있어?","보사노바 스타일 음악 틀어놓으면 분위기 좋아져","CREATIVE"
"90년대 가요 명곡 추천해줘","서태지와 아이들 노래 한번 들어봐, 지금 들어도 신선해","CREATIVE"
"밴드 음악 중에 명반 뭐 있어?","라디오헤드의 'OK Computer' 앨범 통으로 들어봐","CREATIVE"
"국악 느낌 나는 음악 추천해줘","이날치 밴드 노래 들어봐, 국악이랑 팝이 잘 섞였어","CREATIVE"
"감성적인 OST 추천해줘","'어바웃 타임' OST 들어보면 진짜 여운 남아","CREATIVE"
"최근 콘서트 다녀올만한 아티스트 있어?","요즘 내한 공연 많이 하니까 좋아하는 아티스트 스케줄 확인해봐","CREATIVE"
"신나는 EDM 추천해줘","캘빈 해리스 노래 들으면 텐션 확 올라가","CREATIVE"
"여행갈 때 듣기 좋은 플레이리스트 추천해줘","신나는 팝송 위주로 모아서 들어봐, 기분전환 돼","CREATIVE"
"슬픈 노래 듣고 싶은데 뭐 있어?","정승환 노래 추천해, 감정선이 깊어","CREATIVE"
"최신 힙합 트렌드 곡 뭐 있어?","요즘 트렌디한 국내 힙합 앨범 찾아 들어봐, 비트 좋은 거 많아","CREATIVE"
"팝송 중에 신나는 곡 추천해줘","두아 리파 노래 들어봐, 신나고 중독성 있어","CREATIVE"
"겨울에 어울리는 노래 추천해줘","잔잔한 캐롤이나 겨울 감성곡 틀어봐, 분위기 좋아","CREATIVE"
"밴드 결성하려는데 참고할 곡 있어?","록밴드라면 라디오헤드나 콜드플레이 스타일 참고해봐","CREATIVE"
"국내 인디 감성 발라드 추천해줘","페퍼톤스 노래 들어봐, 밝고 좋아","CREATIVE"
"새벽 감성에 듣기 좋은 노래 있어?","자우림 노래 들어봐, 새벽 감성이랑 잘 어울려","CREATIVE"
"최근 화제인 사운드트랙 뭐 있어?","요즘 화제 드라마 OST들 한번 찾아 들어봐, 반응 좋더라","CREATIVE"
"요즘 할만한 게임 추천해줘","'발더스 게이트 3' 강추, 스토리랑 자유도 진짜 좋아","CREATIVE"
"친구랑 같이 할 게임 있어?","'잇 테이크스 투' 해봐, 협동 게임 중 최고야","CREATIVE"
