"질의","응답","카테고리"
"도커 컨테이너 로그 확인하는 명령어 뭐야?","```
docker logs <container_id>
```
- 실시간으로 보려면 -f 옵션
- 최근 N줄만 보려면 --tail 100","IT"
"도커 이미지 레이어 캐시가 뭐야?","- 각 Dockerfile 명령어(RUN, COPY 등)마다 레이어 생성되고 캐시됨
- 이전 레이어랑 내용 같으면 재사용, 다르면 그 이후 전부 재빌드
- 자주 바뀌는 COPY는 아래쪽에 둬야 캐시 효율 좋아짐","IT"
"kubectl로 파드 상태 확인하는 명령어?","```
kubectl get pods -n <namespace>
kubectl describe pod <pod_name> -n <namespace>
```
- describe로 Events 항목 보면 원인 나옴","IT"
"Deployment랑 ReplicaSet 차이가 뭐야?","- ReplicaSet: 지정한 개수만큼 Pod 유지시켜주는 컨트롤러
- Deployment: ReplicaSet을 관리하면서 롤링 업데이트, 롤백 기능까지 제공
- 실무에선 ReplicaSet 직접 안 만들고 Deployment로 관리함","IT"
"Helm chart랑 release 차이가 뭐야?","- chart: 배포할 리소스 템플릿 묶음(패키지)
- release: chart를 특정 클러스터에 실제로 설치한 인스턴스
- 같은 chart로 release 여러 개 만들 수 있음(namespace/이름 다르게)","IT"
"Jenkins pipeline job이랑 freestyle job 차이가 뭐야?","- freestyle: GUI로 빌드 스텝 설정, 단순 작업에 적합
- pipeline: Jenkinsfile(코드)로 빌드 과정 정의, 버전 관리 가능하고 복잡한 흐름 구성 쉬움
- 요즘은 대부분 pipeline(Jenkinsfile) 방식 씀","IT"
"GitLab CI에서 stage랑 job 차이가 뭐야?","- stage: build, test, deploy 같은 실행 단계 그룹
- job: 실제 실행되는 작업 단위, 특정 stage에 속함
- 같은 stage에 있는 job들은 병렬 실행됨","IT"
"도커 멀티스테이지 빌드는 왜 쓰는거야?","- 빌드용 이미지랑 실행용 이미지 분리해서 최종 이미지 용량 줄임
- 빌드 도구, 소스코드가 최종 이미지에 안 남음
- 보안(불필요 툴 제거)이랑 배포 속도에도 유리","IT"
"ConfigMap이랑 Secret 차이가 뭐야?","- ConfigMap: 평문 설정값 저장(환경변수, 설정파일)
- Secret: base64 인코딩 저장, 비밀번호/토큰 등 민감정보용
- base64는 암호화 아니니까 RBAC으로 접근 제어 따로 해야 함","IT"
"Prometheus랑 Grafana 역할 차이가 뭐야?","- Prometheus: 메트릭 수집/저장, 알림 규칙(Alertmanager 연동)
- Grafana: 수집된 메트릭을 시각화하는 대시보드 툴
- Prometheus 단독으로도 웹 UI 있지만 시각화는 Grafana가 훨씬 나음","IT"
"kubectl exec으로 컨테이너 접속하는 명령어?","```
kubectl exec -it <pod_name> -n <namespace> -- /bin/bash
```
- 컨테이너 여러 개면 -c <container_name>으로 지정","IT"
"도커 컨테이너 재시작 정책 옵션 뭐 있어?","- no: 재시작 안 함(기본값)
- on-failure: 비정상 종료시에만 재시작
- always: 항상 재시작
- unless-stopped: 수동으로 멈춘 경우 제외하고 항상 재시작","IT"
