"질의","응답","카테고리"
"Tomcat 재시작 명령어 뭐야?","- shutdown 후 startup
```bash
$CATALINA_HOME/bin/shutdown.sh
$CATALINA_HOME/bin/startup.sh
```
- systemd 등록돼있으면 systemctl restart tomcat","IT"
"JEUS 8에서 도메인 상태 확인하는 명령어는?","```bash
jeusadmin <노드>:<포트> domain-status
```
- WebAdmin 콘솔에서도 서버별 상태 확인 가능","IT"
"nginx 설정 파일 문법 검사 어떻게 해?","```bash
nginx -t
```
- 문법 에러면 몇 번째 줄인지 바로 찍어줌
- reload 전엔 항상 이거 먼저 돌려야 함","IT"
"Apache 워커 프로세스 확인하는 방법?","```bash
ps -ef | grep httpd
apachectl status
```
- status는 mod_status 모듈 활성화 필요","IT"
"WebtoB 프로세스 상태 확인 명령어?","```bash
wsdm -status
```
- HTL, HTH 노드별 상태(ACT/DEACT) 다 나옴","IT"
"스레드 덤프 뜨는 명령어 알려줘","```bash
jstack <pid> > thread_dump.txt
```
- kill -3 <pid> 로도 stdout(catalina.out 등)에 덤프 가능","IT"
"JVM 힙 덤프 뜨는 방법?","```bash
jmap -dump:live,format=b,file=heap.hprof <pid>
```
- live 옵션 빼면 unreachable 객체도 같이 덤프됨","IT"
"Tomcat 커넥터 설정에서 maxThreads 기본값이 뭐야?","- server.xml Connector 기본값 200
- 트래픽 많으면 보통 400~800 사이로 늘려서 씀","IT"
"nginx 무중단 리로드 명령어는?","```bash
nginx -s reload
```
- 마스터 프로세스는 유지, 워커만 graceful하게 교체됨","IT"
"JEUS 노드매니저가 뭐야?","- 각 노드에서 JEUS 서버 프로세스를 기동/중지/모니터링하는 에이전트
- 매니저 서버가 원격 노드를 제어할 때 이걸 통해서 명령 전달함","IT"
"Apache mod_jk이 하는 역할이 뭐야?","- Apache와 WAS(Tomcat/JEUS)를 AJP 프로토콜로 연결해주는 커넥터 모듈
- workers.properties에 워커 목록/로드밸런싱 정의","IT"
"GC 로그 켜는 JVM 옵션 알려줘","```
-Xlog:gc*:file=gc.log:time,uptime:filecount=5,filesize=100M
```
- JDK8 이하는 -XX:+PrintGCDetails -Xloggc:gc.log 사용","IT"
"Tomcat 세션 타임아웃 설정 어디서 해?","- web.xml의 `<session-timeout>` 태그, 단위는 분
- 기본값은 30분","IT"
"WebtoB에서 HTH 노드가 뭐야?","- 클라이언트 HTTP 요청 받아서 WAS로 라우팅하는 노드
- 로드밸런싱은 HTL 노드가 담당","IT"
"커넥션 풀이 뭐야 간단히 설명해줘","- DB 연결을 미리 만들어두고 재사용하는 캐시 같은 개념
- 매번 연결 생성/해제하는 비용을 줄여서 응답속도 개선함","IT"
"JEUS 8 로그 파일 위치 어디야?","- $JEUS_HOME/domains/<도메인명>/servers/<서버명>/logs
- server.log, stdout.log 위주로 확인","IT"
"nginx upstream이 뭐야?","- 백엔드 서버들을 그룹으로 묶어 정의하는 블록
- round robin, least_conn 등 로드밸런싱 알고리즘 지정 가능","IT"
"Tomcat catalina.out 로그 위치는?","- $CATALINA_HOME/logs/catalina.out
- 표준출력/표준에러 다 여기로 쌓임","IT"
"JVM에서 G1GC랑 CMS GC 차이가 뭐야?","- CMS는 Concurrent Mark Sweep, 단편화 발생하고 Java 9부터 deprecated
- G1은 리전 기반이라 단편화 적고 목표 일시정지시간(-XX:MaxGCPauseMillis) 지정 가능","IT"
"Apache와 nginx의 가장 큰 차이가 뭐야?","- Apache는 프로세스/스레드 기반(prefork, worker MPM)
- nginx는 이벤트 기반 비동기라 동시접속 많을 때 메모리 효율 좋음","IT"
"nginx에서 502 Bad Gateway 뜨는데 원인 뭐부터 봐야돼?","확인 순서
1. WAS 프로세스 살아있는지 확인 (ps -ef)
2. nginx.conf의 upstream 주소/포트 맞는지 확인
3. WAS 쪽 에러로그에서 스택트레이스 확인
4. 커넥션풀/스레드풀 고갈 여부 확인
- 놓치기 쉬운 점: WAS 프로세스는 떠있는데 애플리케이션 컨텍스트만 죽은 경우 있음","IT"
"Tomcat에서 커넥션 풀 고갈됐다는 로그 나오는데 어떻게 확인해?","확인 순서
1. context.xml의 maxActive/maxTotal 설정값 확인
2. DB 슬로우쿼리 로그로 커넥션 반환 지연 여부 확인
3. 코드에서 커넥션 close 누락(릭) 있는지 확인
4. 스레드 덤프로 커넥션 대기중인 스레드 수 확인
- 놓치기 쉬운 점: 풀 로그 레벨을 debug로 올려야 실사용 커넥션 수가 찍힘","IT"
"JEUS 8 스레드풀이 계속 꽉 차는데 원인 뭐가 있을까?","확인 순서
1. 스레드 덤프 떠서 BLOCKED/WAITING 상태 스레드 위치 확인
2. 외부 연동(DB, API) 응답 지연 여부 확인
3. 스레드풀 min/max 사이즈 적정한지 확인
4. 데드락 여부 확인
- 놓치기 쉬운 점: 동기 로깅 자체가 병목이 되는 경우도 있음","IT"
"애플리케이션이 갑자기 느려졌는데 Full GC 의심될 때 확인 순서는?","확인 순서
1. gc.log에서 Full GC 빈도/소요시간 확인
2. jstat -gcutil <pid> 1000 으로 실시간 확인
3. -Xms/-Xmx 힙 사이즈 적정한지 확인
4. 캐시나 세션에 큰 객체 쌓이는지 heap dump로 확인
- 놓치기 쉬운 점: Old Gen이 GC 후에도 계속 증가 추세면 메모리 릭 의심해야 함","IT"
"LVM에서 논리볼륨 용량 늘리는 명령어 뭐야?","```
lvextend -L +10G /dev/mapper/vgname-lvname
resize2fs /dev/mapper/vgname-lvname   # ext4
xfs_growfs /mountpoint                # xfs
```
- xfs는 축소 안 됨, 확장만 가능
- ext계열은 resize2fs, xfs는 xfs_growfs 사용","IT"
"AIX에서 설치된 패키지 목록 확인하려면?","```
lslpp -L
lslpp -h <fileset명>   # 설치 이력 확인
```
- -L은 요약, -l은 상세 정보 출력","IT"
"vmstat 봤는데 si/so 값이 계속 올라가는데 원인이 뭐야?","si/so는 스왑 in/out, 지속 발생하면 메모리 부족 신호
확인 순서:
1. free -h 로 여유 메모리/스왑 사용량 확인
2. ps aux --sort=-%mem 로 메모리 많이 쓰는 프로세스 특정
3. /proc/meminfo에서 Cached/Buffers 비중 확인 (캐시는 회수 가능하니 정상)
4. dmesg | grep -i ""out of memory"" 로 OOM killer 발동 여부 확인
- vm.swappiness 기본값 60이면 스왑 과다 사용 가능성 있음, DB서버는 10 이하로 낮추는 게 일반적","IT"
"df -h는 여유 있는데 ""No space left on device"" 뜨는데 원인이 뭐야?","확인 순서:
1. df -i 로 inode 사용률 확인, 100%면 확정
2. find /path -xdev -printf '%h\n' | sort | uniq -c | sort -rn | head 로 inode 많이 쓰는 디렉토리 특정
3. 세션파일, 캐시, 메일큐(/var/spool) 등 소용량 대량파일 의심
4. 정리 후에도 재발하면 애플리케이션이 파일 삭제 안 하는지 확인
- 삭제 직후 inode가 바로 안 줄면 마운트 상태나 캐시 갱신 지연일 수 있음","IT"
"cron이 등록은 됐는데 실행이 안 될 때 확인할 것","확인 순서:
1. crontab -l 로 등록 확인 (계정 맞는지)
2. journalctl -u crond 또는 /var/log/cron 으로 실행 로그 확인
3. 스크립트 내 절대경로 사용 여부 확인
4. 스크립트 실행권한(chmod +x) 확인
5. systemctl status crond 로 서비스 구동 여부 확인
- cron 환경에서는 로그인 셸의 PATH/환경변수가 로드 안 된다는 점 자주 놓침","IT"
"ulimit -n 값 영구적으로 늘리려면?","```
# /etc/security/limits.conf
* soft nofile 65536
* hard nofile 65536
```
- 현재 세션만 바꾸려면 ulimit -n 65536
- systemd 서비스는 유닛파일에 LimitNOFILE= 별도 설정 필요","IT"
"svmon으로 봤을 때 AIX 서버 메모리가 부족해 보이는데 어떻게 판단해?","확인 순서:
1. svmon -G 로 전체 메모리/페이징스페이스 사용률 확인
2. pg space %used가 높으면 페이징 발생 중
3. svmon -P 로 프로세스별 메모리 사용량 top 확인
4. vmstat 1 5 로 pi/po(페이지인/아웃) 지속 발생 여부 확인
- AIX는 여유 메모리를 기본적으로 파일캐시로 다 쓰기 때문에 free 낮다고 무조건 부족한 게 아님, computational memory 기준으로 판단해야 함","IT"
"xfs 파일시스템 축소 가능해?","안 됨. xfs는 확장(xfs_growfs)만 지원
- 축소하려면 백업 후 파일시스템 재생성 필요","IT"
"Windows Server 서비스가 갑자기 계속 다운되는데 확인 방법?","확인 순서:
1. 이벤트뷰어 Application/System 로그에서 종료 시점 에러코드 확인
2. sc qfailure <서비스명> 로 복구 옵션 설정 여부 확인
3. 의존 서비스(Dependencies) 중 하나가 먼저 죽은 건 아닌지 확인
4. 메모리/핸들 누수면 작업관리자에서 핸들 수 지속 증가 확인
- 자동복구(sc failure)만 걸어두고 근본원인 안 잡으면 무한 재시작 루프에 빠질 수 있음","IT"
"LVM 볼륨그룹에 디스크 추가했는데 용량이 안 늘어나","확인 순서:
1. pvcreate /dev/sdX 로 새 디스크 PV 초기화했는지 확인
2. vgextend vgname /dev/sdX 후 vgs/vgdisplay 로 VG 편입 확인
3. lvextend로 LV 실제 확장했는지 확인 (VG 확장만으로는 LV 크기 안 변함)
4. resize2fs/xfs_growfs 로 파일시스템 리사이즈 누락 여부 확인
- 순서 정리: pvcreate → vgextend → lvextend → resize","IT"
"커널 파라미터 즉시 적용하는 방법?","```
sysctl -w vm.swappiness=10
sysctl -p   # /etc/sysctl.conf 반영
```
- 재부팅 후에도 유지하려면 /etc/sysctl.conf 또는 /etc/sysctl.d/*.conf 에 기재 필요","IT"
"AIX에서 커널 파라미터(no) 값 확인/변경?","```
no -a | grep tcp_recvspace
no -o tcp_recvspace=262144
no -p -o tcp_recvspace=262144   # 영구 적용
```","IT"
"디스크 풀(100%)인데 du로 찾아도 큰 파일이 안 보임","확인 순서:
1. lsof | grep deleted 로 삭제됐지만 프로세스가 물고 있는 파일 확인
2. df -h와 du -sh / 결과 차이 나면 십중팔구 이 케이스
3. 해당 프로세스 재시작하거나 kill 하면 공간 회수됨
- 로그파일을 rm으로 지워도 프로세스가 열어놓은 상태면 공간 안 돌아옴, truncate로 지워야 함: `: > /path/to/logfile`","IT"
"JFS2 파일시스템 확장 명령어(AIX)?","```
chfs -a size=+5G /filesystem
```
- LV 자동 확장 포함, 온라인 상태로 확장 가능","IT"
"좀비 프로세스가 서버에 많이 쌓였는데 문제 있어?","- 좀비는 리소스(메모리/CPU) 거의 안 먹음, 다만 PID 고갈 가능성은 있음
- 부모 프로세스가 wait() 안 해서 발생, 부모 재시작하면 정리됨
- 수천 개 이상 쌓이면 fork 실패로 이어질 수 있음","IT"
"load average는 높은데 CPU 사용률(vmstat us+sy)은 낮을 때","확인 순서:
1. iostat -x 1 로 %util, await 확인 → I/O 대기 의심
2. ps aux 에서 D 상태(uninterruptible sleep) 프로세스 확인
3. NFS 마운트 문제인 경우가 많음, mount 옵션(hard/soft) 확인
4. 디스크 자체 병목이면 iostat await 값이 튐
- load average는 CPU뿐 아니라 D상태(디스크 대기) 프로세스도 포함한다는 점 놓치기 쉬움","IT"
"리눅스에서 fork: retry: Resource temporarily unavailable 에러 뜨는데 뭐야?","확인 순서:
1. ulimit -u 로 현재 프로세스 제한 확인
2. /etc/security/limits.conf 의 nproc 제한값 확인
3. ps -eLf | wc -l 로 현재 스레드/프로세스 총량 확인
4. ps -u username | wc -l 로 특정 사용자 제한치 근접 여부 확인
- systemd 기반이면 limits.conf 말고 /etc/systemd/system.conf 의 DefaultLimitNPROC도 확인해야 함, 두 설정이 따로 적용됨","IT"
"Windows Server 이벤트 로그 명령줄로 확인하는 방법?","```
Get-EventLog -LogName System -Newest 20
Get-WinEvent -FilterHashtable @{LogName='Application'; Level=2}
```","IT"
"RHEL 서버 부팅 후 특정 파일시스템이 마운트 안 됨","확인 순서:
1. journalctl -b 로 부팅 로그에서 mount 실패 메시지 확인
2. /etc/fstab UUID/디바이스명 오타나 디스크 순서 변경 여부 확인
3. blkid로 실제 UUID와 fstab 비교
4. fsck로 파일시스템 손상 여부 확인
- fstab에 nofail 옵션 없으면 해당 파일시스템 마운트 실패 시 부팅 자체가 멈출 수 있음","IT"
"AIX 부트이미지 재생성 언제 해야해?","```
bosboot -a -d /dev/hdisk0
```
- 커널 파라미터, 디바이스 드라이버 변경 후 재부팅 전에 실행 필요","IT"
"LVM PV/VG/LV 관계 한 줄로 정리하면?","PV(물리디스크)를 모아 VG(볼륨그룹) 만들고, VG를 쪼개서 LV(논리볼륨) 생성한 뒤 그 위에 파일시스템을 얹는 구조","IT"
"NFS 마운트한 디렉토리 접근시 hang 걸림","확인 순서:
1. mount 옵션 확인 (hard vs soft) - hard면 서버 응답 없을 때 무한 대기
2. showmount -e <nfs서버> 로 서버 응답 확인
3. rpcinfo -p <nfs서버> 로 포트매퍼/nfsd 서비스 확인
4. 네트워크 단절이면 서버 재기동 전까지 df 자체가 멈출 수 있음
- soft, intr, timeo 옵션 조합으로 완화 가능하지만 데이터 무결성 트레이드오프 있음, 운영 DB용 마운트엔 비추천","IT"
"커널 파라미터 중 세마포어 관련 파라미터 뭐가 있어?","```
kernel.sem = 250 32000 32 128
```
- 순서대로 SEMMSL, SEMMNS, SEMMNU, SEMMNI, 오라클 등 DB 설치 시 필수 튜닝 항목","IT"
"chage로 계정 만료일 확인하는 법?","```
chage -l username
```","IT"
"스위치에서 특정 포트가 어떤 VLAN에 물려있는지 어떻게 확인해?","```
show interfaces switchport
```
- Access Mode VLAN 항목에서 현재 VLAN 확인
- 트렁크 포트면 Trunking VLANs 항목에서 허용 목록 확인","IT"
"STP에서 포트가 blocking 상태인지 어떻게 확인해?","```
show spanning-tree interface gi1/0/1
```
- Role이 Altn/Back이면 blocking 상태
- Root Bridge 우선순위도 같이 확인해서 의도한 토폴로지인지 체크","IT"
"방화벽에 새 allow 룰 넣었는데 여전히 차단되는데 정책 순서 때문일까?","확인 순서:
1. 위쪽에 있는 deny 룰이 먼저 매치되고 있는지 hit count 확인
2. 새 룰이 올바른 방향(inbound/outbound)에 들어갔는지 확인
3. 룰 저장 후 commit/apply 여부 확인
4. 소스/목적지 조건에 NAT 이전/이후 주소 헷갈렸는지 확인
- top-down 매치 방식이라 순서만 바꿔도 해결되는 경우가 많음","IT"
"iptables에서 특정 룰만 골라서 삭제하려면?","```
iptables -L INPUT --line-numbers
iptables -D INPUT 3
```
- 라인 번호로 지정 삭제가 제일 안전
- 저장 안 하면 재부팅 시 초기화되니 저장 명령 별도 실행 필요","IT"
"클라이언트에서 SSL handshake failure 뜨는데 원인이 뭘까?","확인 순서:
1. openssl s_client로 서버 인증서 체인 확인
```
openssl s_client -connect host:443 -servername host
```
2. 클라이언트-서버 간 지원 TLS 버전/cipher suite 겹치는지 확인
3. 중간 인증서 누락 여부 (Root만 있고 Intermediate 빠진 경우 흔함)
4. 서버 시간 오차로 인증서 유효기간 벗어난 경우
- 방화벽/프록시가 SNI 기반으로 차단하는 경우도 놓치기 쉬움","IT"
